"data.datetime","N","mean"
"123","2015-05-28 07",13448,4.26699360499703
"124","2015-05-28 08",12279,5.74461356788012
"125","2015-05-28 09",9772,5.29208862054851
"126","2015-05-28 10",458,3.96497816593886
"127","2015-05-28 11",7646,4.31175778184672
"128","2015-05-28 12",8068,4.50037803668815
"129","2015-05-28 13",8652,4.75418169209431
"130","2015-05-28 14",8192,4.24093139648437
"131","2015-05-28 15",10952,5.35239043097151
"132","2015-05-28 16",13893,6.51396098754769
"133","2015-05-30 17",7612,6.43914608512874
"134","2015-05-30 18",7061,5.47273757258179
"135","2015-05-30 19",6250,6.1356672
"136","2015-05-30 20",4842,5.63944444444444
"137","2015-05-30 21",4638,5.44524795170332
"138","2015-05-31 20",4672,5.43439212328767
"139","2015-05-31 23",2187,3.98174668495656
"140","2015-06-01 00",1153,2.55734605377277
"141","2015-06-01 01",213,1.84338028169014
