Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_85120,530330267004006,-122.36835,-122.365779,47.504596,47.505499
1_20710,530330056005047,-122.39426,-122.393066,47.633031,47.633782
1_42550,530330303114010,-122.36569,-122.360913,47.302859,47.304291
1_265,530330080021003,-122.342614,-122.340454,47.610273,47.611731
1_17010,530330013001020,-122.336546,-122.335165,47.69777,47.699592
1_85130,530330267003003,-122.367263,-122.365759,47.500977,47.502795
1_20720,530330056003021,-122.39375,-122.389662,47.631011,47.632321
1_52310,530330279001014,-122.341849,-122.338927,47.468617,47.470421
1_42560,530330303122000,-122.366284,-122.360899,47.298468,47.300691
1_57250,530330293034007,-122.197091,-122.191635,47.430226,47.436318
1_1420,530330081002039,-122.335784,-122.334021,47.605158,47.606336
1_27790,530330005001000,-122.374376,-122.360931,47.726978,47.734145
1_60100,530330258043003,-122.169782,-122.163569,47.452228,47.456423
1_57240,530330293061002,-122.197077,-122.186495,47.421352,47.426691
1_16409,530330036001038,-122.321709,-122.320978,47.674332,47.675137
1_20041,530330105005000,-122.388133,-122.386768,47.561111,47.562945
1_20040,530330105004002,-122.385459,-122.384112,47.561076,47.562873
1_940,530330073002024,-122.335737,-122.333579,47.615615,47.617048
1_1415,530330081002031,-122.334674,-122.332911,47.605622,47.606799
1_27780,530330004011005,-122.355569,-122.347726,47.727768,47.732313
1_16400,530330036004007,-122.325376,-122.322332,47.67587,47.678756
1_28830,530330005002003,-122.366356,-122.364997,47.72328,47.725099
1_57230,530330293061009,-122.197059,-122.194564,47.419468,47.423098
1_1451,530330092002032,-122.330275,-122.328977,47.599195,47.600035
1_21500,530330108002003,-122.363046,-122.359722,47.546396,47.550107
1_20050,530330105005016,-122.388715,-122.386832,47.557461,47.559323
1_910,530330073002008,-122.333159,-122.331001,47.617608,47.618511
1_57220,530330293061009,-122.197059,-122.194564,47.419468,47.423098
1_28850,530330005002000,-122.362304,-122.360948,47.723262,47.725081
1_21520,530330108002003,-122.363046,-122.359722,47.546396,47.550107
1_51910,530330113005000,-122.349296,-122.34696,47.533284,47.534076
1_57290,530330293033004,-122.204945,-122.19697,47.430097,47.444786
1_28800,530330005002005,-122.366377,-122.365014,47.719659,47.721478
1_970,530330072001080,-122.340894,-122.338734,47.611627,47.613061
1_15380,530330093003031,-122.335129,-122.334203,47.577726,47.57981
1_51900,530330108001025,-122.350458,-122.346247,47.534805,47.539089
1_57280,530330293033000,-122.198115,-122.196919,47.443406,47.445267
1_15395,530330093003030,-122.335129,-122.334204,47.575574,47.577726
1_21540,530330107011000,-122.36299,-122.361746,47.551909,47.55372
1_20010,530330105001007,-122.380095,-122.379287,47.562255,47.562871
1_8510,530330090002038,-122.312123,-122.308959,47.595854,47.59665
1_57270,530330293031008,-122.196987,-122.194108,47.440329,47.441136
1_950,530330073003024,-122.337456,-122.335297,47.614286,47.615719
1_1400,530330082001030,-122.332453,-122.330691,47.606551,47.607728
1_57260,530330293032004,-122.197015,-122.191608,47.436262,47.439617
1_28810,530330005002004,-122.366367,-122.365005,47.72147,47.723287
1_50390,530330287002004,-122.325277,-122.322268,47.412427,47.416021
1_79297,530330218033008,-122.205448,-122.203746,47.759358,47.760234
1_79295,530330218033012,-122.211007,-122.20651,47.758427,47.759927
1_16470,530330045001005,-122.3201,-122.317365,47.670053,47.670771
1_60173,530330319082000,-122.139563,-122.137495,47.442072,47.444476
