98001,0,00:02:43,00:02:34
98001,1,,00:00:-28
98001,2,00:14:53,00:-14:-56
98001,3,00:02:11,00:-1:-36
98001,4,00:01:39,00:01:00
98001,5,00:03:17,00:00:-16
98001,6,00:02:59,00:00:49
98001,7,00:02:41,00:02:24
98001,8,00:04:55,00:00:49
98001,9,00:02:55,00:02:13
98001,10,00:03:05,00:00:50
98001,11,00:04:41,00:02:45
98001,12,00:05:33,00:03:23
98001,13,00:02:15,00:01:23
98001,14,00:05:04,00:02:45
98001,15,00:03:35,00:02:37
98001,16,00:05:03,00:02:57
98001,17,00:09:10,00:05:44
98001,18,00:04:03,00:02:40
98001,19,00:02:48,00:01:21
98001,20,00:03:14,00:01:35
98001,21,00:02:10,00:01:35
98001,22,00:03:04,00:02:06
98001,23,00:03:30,00:02:41
98002,0,00:02:54,00:02:27
98002,1,00:00:26,00:00:-10
98002,2,00:17:01,00:-16:-23
98002,3,00:01:07,00:00:-10
98002,4,00:00:37,00:00:24
98002,5,00:01:57,00:00:46
98002,6,00:02:26,00:02:06
98002,7,00:02:42,00:02:05
98002,8,00:09:36,00:02:40
98002,9,00:03:51,00:01:52
98002,10,00:03:00,00:00:07
98002,11,00:03:22,00:00:48
98002,12,00:03:38,00:01:50
98002,13,00:03:08,00:02:04
98002,14,00:05:54,00:03:12
98002,15,00:05:13,00:03:54
98002,16,00:06:42,00:05:17
98002,17,00:05:32,00:01:59
98002,18,00:04:21,00:02:15
98002,19,00:03:57,00:02:37
98002,20,00:03:35,00:02:12
98002,21,00:03:04,00:02:12
98002,22,00:03:22,00:02:36
98002,23,00:03:28,00:03:14
98003,0,00:04:34,00:03:58
98003,1,00:02:27,00:03:21
98003,2,00:02:06,00:01:55
98003,3,00:01:05,00:01:25
98003,4,00:07:20,00:02:26
98003,5,00:02:32,00:00:09
98003,6,00:02:31,00:00:45
98003,7,00:03:52,00:02:11
98003,8,00:03:00,00:01:43
98003,9,00:02:47,00:01:30
98003,10,00:05:24,00:01:56
98003,11,00:03:41,00:02:09
98003,12,00:04:25,00:02:24
98003,13,00:07:20,00:03:30
98003,14,00:04:28,00:02:40
98003,15,00:04:15,00:02:47
98003,16,00:07:04,00:05:09
98003,17,00:08:36,00:05:06
98003,18,00:04:58,00:03:01
98003,19,00:04:29,00:02:28
98003,20,00:03:57,00:02:17
98003,21,00:04:14,00:03:10
98003,22,00:03:26,00:03:01
98003,23,00:03:14,00:02:53
98004,0,00:02:30,00:01:01
98004,4,00:08:12,00:-2:-13
98004,5,00:02:46,00:01:00
98004,6,00:02:38,00:01:11
98004,7,00:03:33,00:01:45
98004,8,00:03:33,00:01:37
98004,9,00:03:58,00:01:58
98004,10,00:03:34,00:01:30
98004,11,00:04:45,00:01:13
98004,12,00:04:11,00:01:48
98004,13,00:04:31,00:01:40
98004,14,00:03:46,00:01:31
98004,15,00:03:58,00:01:52
98004,16,00:04:39,00:02:25
98004,17,00:05:11,00:02:25
98004,18,00:05:38,00:03:03
98004,19,00:05:37,00:03:10
98004,20,00:04:04,00:01:40
98004,21,00:05:19,00:02:27
98004,22,00:03:00,00:01:02
98004,23,00:03:23,00:00:55
98005,0,00:00:06,00:03:33
98005,4,00:01:34,00:01:36
98005,5,00:02:09,00:00:51
98005,6,00:01:55,00:01:22
98005,7,00:03:00,00:01:51
98005,8,00:03:42,00:01:48
98005,9,00:04:22,00:02:11
98005,10,00:02:37,00:00:44
98005,11,00:04:00,00:01:29
98005,12,00:03:17,00:01:23
98005,13,00:04:30,00:02:05
98005,14,00:03:36,00:01:52
98005,15,00:03:30,00:01:59
98005,16,00:06:13,00:02:42
98005,17,00:05:16,00:02:59
98005,18,00:05:37,00:03:13
98005,19,00:04:42,00:02:31
98005,20,00:03:00,00:01:28
98005,21,00:02:52,00:01:38
98005,22,00:02:44,00:01:48
98005,23,00:04:36,00:01:30
98006,4,00:03:05,00:01:22
98006,5,00:01:53,00:00:20
98006,6,00:02:12,00:01:17
98006,7,00:02:54,00:01:44
98006,8,00:03:10,00:01:53
98006,9,00:04:43,00:02:16
98006,10,00:02:44,00:00:51
98006,11,00:06:14,00:02:23
98006,12,00:04:06,00:02:08
98006,13,00:04:02,00:02:01
98006,14,00:03:52,00:02:46
98006,15,00:04:45,00:03:20
98006,16,00:05:15,00:05:01
98006,17,00:06:07,00:03:51
98006,18,00:06:20,00:04:17
98006,19,00:04:59,00:02:46
98006,20,00:05:21,00:02:11
98006,21,00:04:17,00:01:53
98006,22,00:02:22,00:00:55
98006,23,00:01:33,00:00:57
98007,0,00:00:34,00:02:35
98007,4,00:01:35,00:01:42
98007,5,00:02:16,00:00:38
98007,6,00:01:56,00:00:55
98007,7,00:03:02,00:01:43
98007,8,00:03:51,00:02:12
98007,9,00:04:06,00:02:21
98007,10,00:02:50,00:00:50
98007,11,00:04:12,00:01:39
98007,12,00:04:37,00:01:35
98007,13,00:08:25,00:02:44
98007,14,00:03:53,00:01:58
98007,15,00:04:31,00:02:30
98007,16,00:06:40,00:02:44
98007,17,00:06:35,00:04:19
98007,18,00:05:08,00:02:36
98007,19,00:06:18,00:03:10
98007,20,00:03:22,00:01:53
98007,21,00:03:40,00:02:16
98007,22,00:02:40,00:01:21
98007,23,00:06:09,00:02:58
98008,0,,00:02:20
98008,4,00:00:00,00:00:00
98008,5,00:01:39,00:00:-33
98008,6,00:01:28,00:00:35
98008,7,00:04:34,00:02:10
98008,8,00:03:13,00:02:24
98008,9,00:03:56,00:02:51
